case_id,TransactionID
CC-0001,3000120
CC-0001,3000120.0
CC-0002,3000332
CC-0002,3000332.0
CC-0003,3000607
CC-0004,3000906
CC-0004,3001040
CC-0004,3000906.0
CC-0005,3000183
CC-0005,3000183.0
CC-0006,3001230
CC-0006,3001230.0
CC-0007,3000264
CC-0007,3000264.0
CC-0008,3001018
CC-0008,3001018.0
CC-0009,3002486
CC-0010,3002792
CC-0011,3000989
CC-0011,3000989.0
CC-0012,3002019
CC-0012,3002019.0
CC-0013,3002951
CC-0013,3002951.0
CC-0014,3002010
CC-0014,3002010.0
CC-0015,3002758
CC-0016,3001839
CC-0016,3001839.0
CC-0017,3003172
CC-0018,3001565
CC-0018,3001565.0
CC-0019,3002476
CC-0019,3002476.0
CC-0020,3000808
CC-0020,3000825
CC-0020,3003871
CC-0020,3003906
CC-0020,3000808.0
CC-0021,3003708
CC-0022,3001611
CC-0022,3001611.0
CC-0023,3004228
CC-0024,3003459
CC-0024,3003503
CC-0024,3003459.0
CC-0025,3003546
CC-0025,3003546.0
CC-0026,3004354
CC-0027,3003757
CC-0027,3003757.0
CC-0028,3003607
CC-0028,3003607.0
CC-0029,3000150
CC-0029,3002210
CC-0029,3002242
CC-0029,3000150.0
CC-0030,3003913
CC-0030,3003913.0
CC-0031,3001820
CC-0031,3001820.0
CC-0032,3005276
CC-0033,3001937
CC-0033,3001952
CC-0033,3001999
CC-0033,3001937.0
CC-0034,3005972
CC-0035,3004895
CC-0035,3004895.0
CC-0036,3003325
CC-0036,3003325.0
CC-0037,3006461
CC-0038,3006275
CC-0039,3004695
CC-0039,3004695.0
CC-0040,3006416
CC-0041,3003842
CC-0041,3003842.0
CC-0042,3006354
CC-0043,3002981
CC-0043,3002981.0
CC-0044,3005476
CC-0044,3005476.0
CC-0045,3001632
CC-0045,3002781
CC-0045,3003811
CC-0045,3005310
CC-0045,3001632.0
CC-0046,3002840
CC-0046,3002840.0
CC-0047,3002820
CC-0047,3002828
CC-0047,3004711
CC-0047,3004734
CC-0047,3004746
CC-0047,3002820.0
CC-0048,3006432
CC-0048,3006432.0
CC-0049,3004818
CC-0049,3004823
CC-0049,3004818.0
CC-0050,3006044
CC-0050,3006044.0
CC-0051,3006772
CC-0051,3006774
CC-0051,3006772.0
CC-0052,3004914
CC-0052,3004914.0
CC-0053,3006690
CC-0053,3006690.0
CC-0054,3004838
CC-0054,3004838.0
CC-0055,3005851
CC-0055,3005851.0
CC-0056,3003521
CC-0056,3003521.0
CC-0057,3006366
CC-0057,3006366.0
CC-0058,3007307
CC-0059,3000904
CC-0059,3001479
CC-0059,3005523
CC-0059,3005542
CC-0059,3000904.0
CC-0060,3003331
CC-0060,3003334
CC-0060,3003331.0
CC-0061,3006964
CC-0062,3003096
CC-0062,3003109
CC-0062,3003149
CC-0062,3006742
CC-0062,3003096.0
CC-0063,3000256
CC-0063,3001075
CC-0063,3005210
CC-0063,3006200
CC-0063,3006850
CC-0063,3006853
CC-0063,3006859
CC-0063,3006872
CC-0063,3006996
CC-0063,3007008
CC-0063,3007451
CC-0063,3007722
CC-0063,3000256.0
CC-0064,3004342
CC-0064,3004343
CC-0064,3004342.0
CC-0065,3007293
CC-0066,3008267
CC-0067,3005969
CC-0067,3005996
CC-0067,3006014
CC-0067,3005969.0
CC-0068,3008568
CC-0069,3007099
CC-0070,3004140
CC-0070,3004140.0
CC-0071,3005539
CC-0071,3005539.0
CC-0072,3005146
CC-0072,3005146.0
CC-0073,3008421
CC-0073,3008421.0
CC-0074,3008726
CC-0074,3008726.0
CC-0075,3006561
CC-0075,3006561.0
CC-0076,3004802
CC-0076,3004910
CC-0076,3004802.0
CC-0077,3009019
CC-0078,3005866
CC-0078,3006663
CC-0078,3005866.0
CC-0079,3002258
CC-0079,3005470
CC-0079,3002258.0
CC-0080,3004998
CC-0080,3004998.0
CC-0081,3005023
CC-0081,3005023.0
CC-0082,3008084
CC-0083,3009363
CC-0084,3007469
CC-0084,3007992
CC-0084,3007469.0
CC-0085,3001404
CC-0085,3001462
CC-0085,3004832
CC-0085,3004849
CC-0085,3004876
CC-0085,3008631
CC-0085,3008861
CC-0085,3001404.0
CC-0086,3009332
CC-0086,3009332.0
CC-0087,3008876
CC-0087,3008876.0
CC-0088,3009046
CC-0089,3007653
CC-0089,3007655
CC-0089,3007659
CC-0089,3007653.0
CC-0090,3007110
CC-0090,3007173
CC-0090,3007336
CC-0090,3008705
CC-0090,3007110.0
CC-0091,3009776
CC-0092,3008731
CC-0092,3008731.0
CC-0093,3006978
CC-0093,3007013
CC-0093,3006978.0
CC-0094,3009721
CC-0094,3009721.0
CC-0095,3000824
CC-0095,3001548
CC-0095,3004896
CC-0095,3008509
CC-0095,3008623
CC-0095,3000824.0
CC-0096,3010143
CC-0097,3007851
CC-0097,3007851.0
CC-0098,3009884
CC-0099,3010003
CC-0100,3009606
CC-0100,3009606.0
CC-0101,3008404
CC-0101,3008404.0
CC-0102,3009982
CC-0102,3010017
CC-0102,3009982.0
